,"(515, 377, 1)","(377, 515, 1)","(515, 377, 3)","(377, 515, 3)","(515, 377, 5)","(377, 515, 5)","(515, 377, 10)","(377, 515, 10)","(0, 0, 0)"
"{""377"": 20, ""515"": 20}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 18, ""515"": 19}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 16, ""515"": 19}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 12, ""515"": 22}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 14, ""515"": 19}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 12, ""515"": 18}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 27, ""515"": -1}",-24.93533530257927,-24.399861698528884,-26.364935509288536,-25.644092813526505,-22.1974361586682,-24.17014203351613,-27.22883506932425,-24.28615620704916,-27.5188700287058
"{""377"": 42, ""515"": -16}",-21.10840237802374,-25.898999851302044,-19.237551069543226,-18.79607158637191,-27.54368132841874,-17.85804081965027,-21.62873734244821,-22.800225612475952,-26.06059562015134
"{""377"": 53, ""515"": -6}",-17.36680636366246,-25.823927851370428,-47.490452295914295,-15.169674340104216,-36.67296491554636,-33.94612039249127,-29.09177295457177,-16.936168044103493,-14.716842767782037
"{""377"": 60, ""515"": -9}",-20.660446765551367,-42.21680475604748,-9.423408396964389,-7.348738620061922,-7.348738620061922,-38.257678928370154,-31.764801504860976,-54.83418638956412,-35.71608163930054
"{""377"": 58, ""515"": -6}",-7.348738620061922,-16.50117984252878,-5.7370754994717315,-23.699635971747796,-27.170601456554305,-11.90216462765724,-21.443303874916893,-7.875251233861302,-52.199979327899655
"{""377"": 48, ""515"": 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 57, ""515"": 0}",-12.388896541875457,-3.937625616930651,-26.873632415103724,-15.59575630285735,-5.214941284932398,-13.74944772099438,-21.71244996902373,-5.708163953362243,-28.34019411986338
"{""377"": 68, ""515"": -2}",-52.277979534620655,-46.97730619963151,-46.84576383801163,-46.84576383801163,-59.63622729796697,-46.71289276566831,-47.7393922952256,-46.57867956128112,-47.23645780625885
