,"(1, 324)","(3, 324)","(5, 324)","(10, 324)","(1, 509)","(3, 509)","(5, 509)","(10, 509)","(0, 0)"
20,-0.12641395283420181,-0.37924185850260544,-0.669241575864006,-1.6885897950800814,-0.16551412071515972,-0.4553801729256395,-0.8608519485646403,-1.3750983202107319,0.0
34,-0.005,-0.02985,-0.169836630232525,-0.4324137625817955,-0.005,-0.0445515,-0.0742525,-0.292599252995,0.0
32,-0.02450497505,-0.059105985,-0.0742525,-0.292599252995,-0.04324137625817955,-0.0445515,-0.04975,-0.2450497505,0.0
35,-0.0292599252995,-0.07351492515,-0.098509975,-0.19701995,-0.0292599252995,-0.02985,-0.04975,-0.148505,0.0
45,-0.005,-0.0877797758985,-0.0742525,-0.19701995,-0.019701995,-0.02985,-0.0742525,-0.148505,0.0
40,-0.0148505,-0.0877797758985,-0.169836630232525,-0.19701995,-0.02450497505,-0.059105985,-0.0742525,-0.19701995,0.0
54,-0.89103,-0.89103,-0.3,-0.3,0.0,0.0,-0.3,-1.1821196999999999,-1.75559551797
47,-0.019701995,0.0,-0.098509975,-0.0995,-0.00995,-0.02985,-0.098509975,-0.4324137625817955,0.0
29,-0.019701995,-0.059105985,-0.1462996264975,-0.2450497505,-0.0292599252995,-0.059105985,-0.169836630232525,-0.33967326046505,0.0
25,-0.02450497505,-0.0445515,-0.0742525,-0.2450497505,-0.019701995,-0.0877797758985,-0.21620688129089774,-0.33967326046505,0.0
19,-0.04324137625817955,-0.059105985,-0.2840378207096768,-0.19701995,-0.019701995,-0.0877797758985,-0.19313826393019973,-0.19701995,0.0
22,-0.019701995,-0.0877797758985,-0.12252487525,-0.2450497505,-0.019701995,-0.0445515,-0.098509975,-0.33967326046505,0.0
23,-0.033967326046505,-0.101901978139515,-0.23904481247798876,-0.292599252995,-0.019701995,-0.101901978139515,-0.19313826393019973,-0.38627652786039945,0.0
27,-0.0148505,-0.11588295835811985,-0.1462996264975,-0.38627652786039945,-0.019701995,-0.07351492515,-0.04975,-0.292599252995,0.0
24,-0.00995,-0.015,-0.098509975,-0.05,-0.02450497505,-0.059105985,-0.0742525,-0.292599252995,0.0
21,-0.019701995,-0.02985,-0.1462996264975,-0.19701995,-0.019701995,-0.059105985,-0.12252487525,-0.19701995,0.0
18,-0.019701995,-0.015,-0.12252487525,-0.0995,-0.00995,-0.0877797758985,-0.098509975,-0.4324137625817955,0.0
13,-0.02450497505,-0.07351492515,-0.0742525,-0.2450497505,-0.019701995,-0.0877797758985,-0.0742525,-0.2450497505,0.0
10,-0.061239488500516005,-0.02985,-0.3281354680775543,-0.292599252995,-0.0292599252995,-0.11588295835811985,-0.21620688129089774,-0.292599252995,0.0
1,-0.038627652786039954,-0.059105985,-0.19313826393019973,-0.2450497505,0.0,-0.015,-0.19313826393019973,-0.6562709361551086,0.0
-7,-3.674369310030961,-1.470298503,-3.674369310030961,-3.139852372238507,-3.139852372238507,-1.470298503,-1.470298503,-0.597,-6.191571490690334
-10,-1.75559551797,-1.75559551797,-2.317659167162397,-1.75559551797,-1.1821196999999999,-2.5944825754907734,-2.0380395627903,-2.317659167162397,-1.75559551797
-5,-3.937625616930651,-1.75559551797,-0.597,-2.317659167162397,-0.89103,-3.937625616930651,-2.5944825754907734,-2.8685377497358657,-7.358421383891018
-14,-2.0380395627903,-1.1821196999999999,-3.408453848516122,-1.470298503,-1.470298503,-2.5944825754907734,-0.3,-1.75559551797,-2.317659167162397
-6,-2.0380395627903,-1.75559551797,-2.5944825754907734,-2.0380395627903,-2.317659167162397,-3.408453848516122,-2.317659167162397,-4.198249360761345,-5.708163953362243
-18,-1.470298503,-1.1821196999999999,-0.597,-2.0380395627903,-0.597,0.0,-2.0380395627903,-1.470298503,-1.470298503
-26,-0.3,-0.89103,-0.3,-0.89103,-1.470298503,-1.470298503,-0.89103,-1.1821196999999999,-0.597
-32,-0.89103,-0.89103,-0.3,-0.3,0.0,-0.597,-0.3,-0.597,-0.597
-22,-2.317659167162397,-1.75559551797,-1.75559551797,-0.597,-1.470298503,-2.0380395627903,-1.1821196999999999,-2.0380395627903,-0.597
-23,-1.75559551797,-1.75559551797,-0.89103,-1.1821196999999999,-0.89103,-0.597,-1.470298503,-0.597,-0.89103
-28,-0.3,-1.1821196999999999,-0.597,-1.75559551797,-1.1821196999999999,-0.597,-0.597,-0.597,-0.597
-30,-1.75559551797,-1.75559551797,-1.470298503,-1.470298503,-1.1821196999999999,-1.75559551797,-0.89103,-0.89103,-0.89103
16,-0.02450497505,-0.07351492515,-0.21620688129089774,-0.38627652786039945,-0.038627652786039954,-0.12972412877453865,-0.0742525,-0.38627652786039945,0.0
15,-0.02450497505,-0.059105985,-0.098509975,-0.38627652786039945,-0.0292599252995,-0.0877797758985,-0.169836630232525,-0.19701995,0.0
17,-0.038627652786039954,-0.059105985,-0.2616543643532089,-0.2450497505,-0.038627652786039954,-0.0877797758985,-0.21620688129089774,-0.2450497505,0.0
11,-0.033967326046505,-0.02985,-0.19313826393019973,-0.0995,-0.02450497505,-0.07351492515,-0.0742525,-0.292599252995,0.0
-3,-0.89103,-3.937625616930651,-1.1821196999999999,-0.89103,-2.0380395627903,-2.0380395627903,-4.964587156497372,-1.470298503,-6.665359218025596
-8,-1.470298503,-2.317659167162397,-2.5944825754907734,-0.89103,-2.5944825754907734,-2.317659167162397,-1.75559551797,-1.75559551797,-2.8685377497358657
-11,-2.0380395627903,-1.470298503,-3.139852372238507,-1.75559551797,-3.139852372238507,-1.470298503,-2.5944825754907734,-2.0380395627903,-1.75559551797
-16,-2.0380395627903,-2.317659167162397,-1.75559551797,-0.89103,-0.89103,-2.317659167162397,-1.1821196999999999,-1.470298503,-0.597
-19,-0.89103,-2.0380395627903,-2.0380395627903,-2.0380395627903,-2.317659167162397,-2.0380395627903,-2.0380395627903,-1.1821196999999999,-2.317659167162397
-13,-2.0380395627903,-1.1821196999999999,-2.0380395627903,-1.1821196999999999,-1.75559551797,-0.89103,-2.5944825754907734,-1.470298503,-0.89103
-15,-1.75559551797,-1.75559551797,-0.89103,-1.1821196999999999,-1.470298503,-2.8685377497358657,-0.89103,-0.89103,-2.0380395627903
-25,-1.1821196999999999,-0.597,-0.89103,-0.597,-0.89103,-0.89103,-0.597,-0.3,-1.470298503
9,-0.0292599252995,-0.059105985,-0.21620688129089774,-0.292599252995,-0.02450497505,-0.02985,-0.23904481247798876,-0.33967326046505,0.0
4,-0.038627652786039954,-0.07351492515,-0.19313826393019973,-0.33967326046505,-0.02450497505,-0.0877797758985,-0.0742525,-0.05,0.0
-1,-3.139852372238507,-1.75559551797,-1.75559551797,-1.75559551797,-6.429655775783431,-3.408453848516122,-1.75559551797,-3.674369310030961,-11.481295771731352
-12,-0.89103,-2.0380395627903,-0.597,-1.75559551797,-2.0380395627903,-2.0380395627903,-2.317659167162397,-1.1821196999999999,-2.8685377497358657
5,-0.02450497505,-0.059105985,-0.098509975,-0.148505,-0.033967326046505,-0.101901978139515,-0.12252487525,-0.38627652786039945,0.0
-2,-2.0380395627903,-2.5944825754907734,-4.711704198482194,-3.408453848516122,-2.0380395627903,-1.470298503,-3.937625616930651,-1.75559551797,-12.911963925685214
-17,-1.1821196999999999,-1.1821196999999999,-2.5944825754907734,-2.5944825754907734,-1.470298503,-1.470298503,-3.139852372238507,-1.470298503,-1.75559551797
-27,-1.470298503,-0.89103,-1.1821196999999999,-0.3,-1.470298503,-1.470298503,-0.89103,-0.89103,-1.1821196999999999
