,"(1, 515)","(3, 515)","(5, 515)","(10, 515)","(0, 0)"
"{""377"": 20, ""515"": 20}",-0.4981287224790926,-1.4957203356462436,-2.497685803385178,-4.989553291242514,0.0
"{""377"": 24, ""515"": 13}",0.0,-0.015,-0.025,-0.05,0.0
"{""377"": 20, ""515"": 15}",-0.1786941989576408,-0.3214827887891716,-0.37135557226281096,-1.264139528342018,0.0
"{""377"": 28, ""515"": 6}",-0.0148505,0.0,-0.04975,-0.292599252995,0.0
"{""377"": 34, ""515"": 0}",-0.02450497505,-0.0445515,-0.098509975,-0.148505,0.0
"{""377"": 31, ""515"": 2}",-0.17217038971292806,-0.4761681074844193,-0.8934709947882039,-1.4827615250021529,0.0
"{""377"": 30, ""515"": 0}",-0.00995,-0.02985,0.0,-0.05,0.0
"{""377"": 42, ""515"": -16}",-0.13750983202107317,-0.592490899293695,-0.5554466015021332,-3.1138167653824773,0.0
"{""377"": 66, ""515"": -40}",-2.0380395627903,-0.3,-1.470298503,-1.75559551797,-3.139852372238507
"{""377"": 87, ""515"": -40}",-5.214941284932398,-1.470298503,-1.75559551797,-5.214941284932398,-0.597
"{""377"": 100, ""515"": -49}",-0.3,-0.597,0.0,-0.89103,-1.1821196999999999
"{""377"": 89, ""515"": -37}",-0.89103,-7.808988798351587,-16.84147494570266,-1.75559551797,-1.1821196999999999
"{""377"": 98, ""515"": -49}",-2.317659167162397,-0.3,0.0,-0.597,-0.3
"{""377"": 99, ""515"": -42}",-1.1821196999999999,-4.711704198482194,-0.3,-2.8685377497358657,-0.597
"{""377"": 114, ""515"": -48}",-1.470298503,-1.75559551797,0.0,-1.1821196999999999,-0.89103
"{""377"": 107, ""515"": -41}",-1.75559551797,-1.470298503,-3.139852372238507,-1.1821196999999999,-6.429655775783431
"{""377"": 98, ""515"": -48}",-0.3,-1.470298503,-0.89103,-0.3,0.0
"{""377"": 71, ""515"": -43}",-1.470298503,-0.89103,-9.107603458512788,-1.75559551797,-2.8685377497358657
"{""377"": 54, ""515"": -28}",-4.198249360761345,-9.7281285281915,-4.198249360761345,-3.937625616930651,-19.019029761803107
"{""377"": 55, ""515"": -30}",-3.408453848516122,-0.89103,-2.5944825754907734,-3.674369310030961,0.0
"{""377"": 59, ""515"": -26}",-1.1821196999999999,-2.5944825754907734,-2.317659167162397,-3.408453848516122,-7.129718569586887
"{""377"": 52, ""515"": -21}",-4.198249360761345,-2.0380395627903,-1.75559551797,-5.214941284932398,-2.317659167162397
"{""377"": 49, ""515"": -16}",-0.038627652786039954,-0.2854081976681122,-0.45523265600692286,-0.38627652786039945,0.0
"{""377"": 52, ""515"": -18}",0.0,0.0,0.0,0.0,0.0
"{""377"": 26, ""515"": 11}",0.0,0.0,0.0,-0.05,0.0
"{""377"": 15, ""515"": 20}",-0.4933609845199616,-1.4792659492307116,-2.4681129410977323,-4.9564706828497815,0.0
"{""377"": 21, ""515"": 13}",-0.0292599252995,-0.0877797758985,-0.2616543643532089,-0.8691568808220664,0.0
"{""377"": 13, ""515"": 21}",-0.11882864282644813,-0.4864064264095751,-0.5159642908908613,-1.0716092959639054,0.0
"{""377"": 14, ""515"": 19}",-0.47869796431056183,-1.4373656244623447,-2.3470589361507366,-4.84556443009285,0.0
"{""377"": 9, ""515"": 21}",-0.0292599252995,-0.0877797758985,-0.23904481247798876,-0.33967326046505,0.0
"{""377"": 23, ""515"": 3}",-0.1882373025543999,-0.8081670488728563,-0.7936135124740319,-1.4113473370086245,0.0
"{""377"": 28, ""515"": -2}",-0.19444138023356736,-0.6709747842564221,-1.1182913070940368,-2.4243144128809817,0.0
"{""377"": 54, ""515"": -7}",-1.75559551797,-2.8685377497358657,-0.597,-1.470298503,-28.586745384848705
"{""377"": 61, ""515"": -10}",-13.74944772099438,-5.95108231382862,-29.36114722501107,-21.10840237802374,-4.964587156497372
"{""377"": 63, ""515"": -11}",-12.211006607955007,-29.005849298524318,-13.419495685128437,-15.303291809873839,-29.99999999858749
"{""377"": 64, ""515"": -15}",-29.999996341782705,-14.389784320490794,-29.913542134267544,-27.756110528194412,-12.031319806015158
"{""377"": 68, ""515"": -11}",-12.031319806015158,-28.543485446082812,-5.708163953362243,-17.486373602003372,-29.999735347135676
"{""377"": 78, ""515"": -12}",-29.136335740831658,-25.279401536766294,-29.999291356956558,-28.25465484069875,-29.27198009136508
"{""377"": 80, ""515"": -14}",-29.98909427361087,-16.574303587085666,-29.814420619307707,-23.807773886477577,-28.237025091614896
"{""377"": 61, ""515"": -11}",-28.77224097071088,-24.051772302332548,-12.211006607955007,-29.751624315067197,-29.503086666102188
"{""377"": 39, ""515"": -11}",-0.33939946271760424,-0.7577420105996892,-2.498733771950401,-1.1882864282644814,0.0
"{""377"": 25, ""515"": 1}",-0.4633460654780559,-1.3746904054901916,-2.2497353143462764,-4.665159986260681,0.0
"{""377"": 14, ""515"": 11}",-0.08691568808220664,-0.15699261861192534,-0.34985411339677874,-1.0716092959639054,0.0
"{""377"": 25, ""515"": 8}",-0.22915746201657308,-0.367921069194551,-0.7413807625010764,-2.180474047738061,0.0
"{""377"": 17, ""515"": 14}",-0.09104653120138456,-0.2854081976681122,-0.45523265600692286,-0.9918470523047702,0.0
"{""377"": 16, ""515"": 17}",-0.20648160903125767,-0.8219345246002865,-0.7056736685043122,-1.8508818439838373,0.0
"{""377"": 18, ""515"": 16}",-0.13384831517280119,-0.43417015909156154,-0.632069764171009,-1.4827615250021529,0.0
"{""377"": 22, ""515"": 15}",-0.06997082267935574,-0.1704226924258061,-0.3281354680775543,-0.7852840330803657,0.0
"{""377"": 21, ""515"": 14}",-0.019701995,-0.015,-0.025,-0.0995,0.0
"{""377"": 17, ""515"": 17}",-0.14113473370086244,-0.3904494399175794,-0.5748921354871118,-1.4827615250021529,0.0
"{""377"": 20, ""515"": 13}",-0.20052199676691937,-0.6874723860497193,-0.8106773773492916,-2.693890162909521,0.0
"{""377"": 16, ""515"": 14}",-0.15872270249480638,-0.3904494399175794,-0.669241575864006,-1.4113473370086245,0.0
"{""377"": 38, ""515"": -12}",-0.2094167929409451,-1.0729383400902062,-0.5554466015021332,-2.9763401366083797,0.0
"{""377"": 58, ""515"": -32}",-1.470298503,-2.5944825754907734,-0.89103,-1.1821196999999999,-10.131538770480487
"{""377"": 80, ""515"": -33}",-5.708163953362243,-3.408453848516122,-6.8987056258453405,-5.95108231382862,-22.1974361586682
"{""377"": 91, ""515"": -40}",-2.0380395627903,0.0,-0.89103,-2.8685377497358657,-3.937625616930651
"{""377"": 87, ""515"": -38}",-17.35997333535694,-1.470298503,-4.198249360761345,-6.429655775783431,-13.419495685128437
"{""377"": 91, ""515"": -34}",-1.75559551797,-16.574303587085666,-2.0380395627903,-1.1821196999999999,-2.317659167162397
"{""377"": 99, ""515"": -33}",-9.107603458512788,-3.408453848516122,-9.930847242909584,-8.468084022051746,-9.523362149688383
"{""377"": 91, ""515"": -25}",-10.131538770480487,-12.211006607955007,-29.249695291209285,-15.882400752430488,-13.252015843564077
"{""377"": 79, ""515"": -29}",-13.911953243784437,-8.25058992126439,-2.0380395627903,-8.896569150012917,-13.082844286428362
"{""377"": 57, ""515"": -29}",-2.8685377497358657,-3.139852372238507,-23.488653099815757,-0.597,-1.470298503
"{""377"": 40, ""515"": -15}",-0.0148505,-0.101901978139515,-0.19313826393019973,-0.148505,0.0
"{""377"": 33, ""515"": 0}",-0.12264035639818364,-0.4234042011025874,-0.8275706035757987,-1.0319285817817225,0.0
"{""377"": 29, ""515"": 2}",-0.033967326046505,-0.101901978139515,-0.21620688129089774,-0.5233087287064178,0.0
"{""377"": 26, ""515"": 7}",-0.07427111445256218,-0.367921069194551,-0.5554466015021332,-0.7852840330803657,0.0
"{""377"": 7, ""515"": 30}",-0.06997082267935574,-0.15699261861192534,-0.21620688129089774,-0.5233087287064178,0.0
