state,max
21,0
20,0
19,0
18,0
17,0
16,0
15,0
14,0
13,0
12,0
11,0
10,0
9,0
8,0
7,0
6,0
5,0
4,0
3,0
2,0
1,0
0,0
-1,0
-2,0
-3,0
-4,0
-5,0
-6,0
-7,0
-8,0
-9,0
-10,0
-11,1
-12,3
-13,1
-14,3
-15,1
-16,5
-17,1
-18,5
-19,3
-20,1
-21,0
-22,5
-23,0
-24,1
-25,10
-26,3
-27,5
-28,0
-29,3
-30,3
-31,1
-32,0
-33,5
-34,1
-35,0
-36,10
-37,0
-38,5
-39,1
-40,1
-41,10
-42,1
-43,1
-44,3
-45,5
-46,3
-47,5
-48,1
-49,3
-50,0
-51,1
-52,10
-53,1
-54,3
-55,5
-56,5
-57,10
-58,1
-59,1
-60,5
-61,3
-62,1
-63,1
-64,1
-65,1
-66,5
-67,1
-68,1
-69,5
-70,5
-71,1
-72,10
-73,1
-74,1
-75,1
-76,3
-77,1
-78,1
-79,1
-80,1
-81,1
-82,1
-87,1
-88,1
-89,1
-90,1
-91,1
-93,1
-100,1
